ID	Long	Lat	Present	Stable_noExpand	Stable_WhithExpand	Leading	Future	Trailing	prop_perda	Turnover_beta	Nestedness_beta	Dissimilarity_beta
325	44.5	14.5	5	1	3	2	6	3	0.2	0	0	0
326	44.5	15.5	3	0	0	0	3	3	0	0	0	0
327	44.5	16.5	2	0	1	1	3	2	0.5	0	0	0
328	44.5	17.5	2	0	1	1	3	2	0.5	0	0	0
329	44.5	18.5	0	0	0	0	0	0	0	0	0	0
330	44.5	19.5	0	0	0	0	0	0	0	0	0	0
331	44.5	20.5	0	0	0	0	0	0	0	0	0	0
332	44.5	21.5	0	0	0	0	0	0	0	0	0	0
333	44.5	22.5	0	0	0	0	0	0	0	0	0	0
334	44.5	23.5	0	0	0	0	0	0	0	0	0	0
335	44.5	24.5	0	0	0	0	0	0	0	0	0	0
336	44.5	25.5	0	0	0	0	0	0	0	0	0	0
337	44.5	26.5	0	0	0	0	0	0	0	0	0	0
338	44.5	27.5	0	0	0	0	0	0	0	0	0	0
339	44.5	28.5	0	0	0	0	0	0	0	0	0	0
340	44.5	29.5	0	0	0	0	0	0	0	0	0	0
341	44.5	30.5	0	0	0	0	0	0	0	0	0	0
342	44.5	31.5	0	0	0	0	0	0	0	0	0	0
343	44.5	32.5	0	0	0	0	0	0	0	0	0	0
344	44.5	33.5	1	0	0	0	1	1	0	0	0	0
345	44.5	34.5	3	3	2	0	2	0	-0.333333333	0	0.2	0.2
346	44.5	35.5	3	2	2	0	3	1	0	0	0	0
347	44.5	36.5	5	4	2	0	3	1	-0.4	0	0.25	0.25
348	44.5	37.5	5	1	1	0	5	4	0	0	0	0
349	44.5	38.5	4	1	1	0	4	3	0	0	0	0
350	44.5	39.5	4	1	2	1	5	3	0.25	0	0	0
351	44.5	40.5	5	3	1	0	3	2	-0.4	0	0.25	0.25
352	44.5	41.5	7	2	3	1	8	5	0.142857143	0	0	0
353	44.5	42.5	7	5	6	1	8	2	0.142857143	0	0.066666667	0.066666667
354	45.5	12.5	4	1	1	0	4	3	0	0	0	0
355	45.5	13.5	4	4	4	0	4	0	0	0	0	0
356	45.5	14.5	3	1	2	1	4	2	0.333333333	0	0	0
357	45.5	15.5	1	0	0	0	1	1	0	0	0	0
358	45.5	16.5	0	0	0	0	0	0	0	0	0	0
359	45.5	17.5	0	0	0	0	0	0	0	0	0	0
360	45.5	18.5	0	0	0	0	0	0	0	0	0	0
361	45.5	19.5	0	0	0	0	0	0	0	0	0	0
